,Unnamed: 0,State,AC-Act,IC-Act,NI-Act,SR-Act,TP-Act,none_values
0,0,Andhra Pradesh,2212.0,2.0,46845,44.0,77.0,0
1,1,Assam,,,19180,,,4
2,2,Bihar,4152.0,70.0,23658,107.0,11.0,0
3,3,Chandigarh,2994.0,,16410,480.0,1.0,1
4,4,Chhattisgarh,6273.0,,36987,2589.0,,2
5,5,Dadra and Nagar Haveli and Daman and Diu,56.0,,2072,9.0,,2
6,6,Delhi,30122.0,,100172,1757.0,2.0,1
7,7,Goa,1240.0,27.0,41734,2686.0,5.0,0
8,8,Gujarat,508.0,327.0,67809,10755.0,1.0,0
9,9,Haryana,4624.0,1.0,23631,312.0,1.0,0
10,10,Himachal Pradesh,1205.0,1.0,20360,1886.0,8.0,0
11,11,Jammu & Kashmir,72.0,,10435,6.0,3.0,1
12,12,Jharkhand,661.0,,31377,34.0,1.0,1
13,13,Karnataka,6575.0,,46597,,,3
14,14,Kerala,15596.0,3.0,22636,424.0,21.0,0
15,15,Madhya Pradesh,9596.0,167.0,22989,8516.0,61.0,0
16,16,Maharashtra,2793.0,,66210,903.0,1443.0,1
17,17,Manipur,18.0,209.0,556,1647.0,29.0,0
18,18,Meghalaya,251.0,,398,46.0,,2
19,19,Mizoram,1.0,,21,,,3
20,20,Odisha,1932.0,1.0,2229,3213.0,12.0,0
21,21,Punjab,8495.0,3.0,43270,5812.0,4.0,0
22,22,Rajasthan,22938.0,12.0,12705,60.0,3.0,0
23,23,Sikkim,26.0,,335,48.0,1.0,1
24,24,Tamil Nadu,,,17635,,,4
25,25,Telangana,5472.0,20.0,30988,1525.0,86.0,0
26,26,Tripura,253.0,3.0,2017,2080.0,2.0,0
27,27,Uttar Pradesh,3307.0,3.0,29721,7.0,,1
28,28,Uttarakhand,1412.0,1.0,37819,5.0,,1
29,29,West Bengal,17245.0,10.0,19907,26552.0,12.0,0
